Date,Type,Link
2018-01-04 13:50:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6353801412777897984
2018-01-04 13:48:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6334775745507782656
2017-12-26 21:15:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A7392099054426429108
2017-12-13 17:04:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6346524985300959232
2017-11-30 23:42:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6341452517506904065
2017-10-03 16:29:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6320796515858288641
2017-09-01 16:16:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6309390855597809665
2017-06-20 16:04:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A7064905562747025894
2017-05-11 12:49:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6265721104258646016
2017-04-26 04:16:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6262826243461251073
2017-03-28 16:22:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6252269653888946177
2017-02-16 20:11:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6237745822558154752
2017-01-27 17:14:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8872476350329786199
2017-01-26 15:02:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6229868741648216065
2017-01-17 23:45:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A9071979869189608412
2017-01-17 17:02:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6226971392940732417
2017-01-15 18:47:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6226255411050217472
2016-12-12 17:33:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6213575860935487488
2016-12-03 01:39:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8885440579956550720
2016-11-30 21:30:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6206669941437931520
2016-11-24 14:51:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6207232478663491584
2016-10-27 23:32:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6197512506211078144
2016-10-27 15:12:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6197266284837634048
2016-09-29 14:58:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A157360-6187100670642905089
2016-09-26 20:42:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6186232111519797250
2016-09-14 18:25:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6181888984378073088
2016-09-14 17:35:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6181675290889109504
2016-09-02 15:14:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6177108330754895872
2016-08-31 14:46:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6176508840071229440
2016-08-30 16:47:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6176418768747585536
2016-08-25 18:54:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6174615684476080128
2016-07-27 20:45:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6164081226987692032
2016-07-12 16:19:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8509410436770083753
2016-07-10 21:41:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A157360-6157984515592564738
2016-06-27 18:24:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6153183490696323072
2016-06-12 02:47:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8451948430134630894
2016-06-03 17:30:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A7047929603965892349
2016-05-30 22:06:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6143125316186497025
2016-05-23 22:02:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6140496643163717632
2016-05-13 20:45:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6136937196638191616
2016-05-13 00:58:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A7359069943052912993
2016-05-12 14:31:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6136508592523603968
2016-04-26 14:13:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6130713820164878337
2016-04-05 02:48:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8867823494853955911
2016-04-04 14:40:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6122752931277070336
2016-03-15 14:22:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6115490704388038656
2016-02-09 19:31:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6102905696209100800
2016-01-08 19:45:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A7418724098854950925
